Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2023 00:00,26.62,93.0375,6.3625,13.62,19.9825,7.3875,,0.8775,3.07,0.205,0.7475,,,0.2275,0.315,,94.9275,1.485,36.3575,,,1.41,1013.5,-0.5
01-01-2023 01:00,25.9575,89.41,6.9325,12.9725,19.9025,7.55,,0.9325,3.0875,0.125,0.675,,,0.1375,0.13,,94.9325,1.735,71.4125,,,1.365,1012.75,-0.5
01-01-2023 02:00,23.94,81.355,11.1175,15.865,26.9825,8.4325,,0.86,2.5125,0.345,0.56,,,0.05,0.2125,,95.33,1.7875,84.92,,,1.4,1012.05,-0.5
01-01-2023 03:00,23.4675,78.7675,18.0125,15.56,33.575,9.54,,1.025,3.0825,0.305,0.7875,,,0.1225,0.3175,,95.3075,1.975,91.0625,,,1.8925,1011.575,-0.5
01-01-2023 04:00,22.03,75.295,29.0025,14.725,43.7275,11.2775,,1.03,2.6825,0.095,0.7125,,,0.295,0.1675,,95.3375,1.61,71.98,,,2.15,1011.975,-0.5
01-01-2023 05:00,24.69,79.4675,41.5875,13.975,55.5575,13.35,,1.24,1.685,0.24,0.98,,,0.6175,0.2425,,95.325,1.8025,200.36,,,1.9775,1012.325,-0.5
01-01-2023 06:00,32.67,82.01,60.9425,12.9825,73.92,16.0325,,1.1725,2.365,0.1725,0.3725,,,0.14,0.17,,95.4275,1.5575,184.5775,,,4.75,1013.1,-0.5
01-01-2023 07:00,34.31,87.1975,54.545,21.76,76.23,15.905,,1.1175,2.3475,0.155,0.4875,,,0.215,0.145,,95.5,1.1425,198.6525,,,25.97,1014.025,-0.5
01-01-2023 08:00,39.3,106.13,13.4825,40.015,53.495,11.6575,,0.685,9.4275,0.3775,0.995,,,0.245,0.1475,,91.125,1.365,289.005,,,55.2725,1014.875,-0.4975
01-01-2023 09:00,40.115,125.325,4.365,31.045,35.4075,10.075,,0.6,22.0725,0.15,0.6325,,,0.335,0.215,,77.9875,0.67,160.5425,,,154.98,1015.15,-0.4925
01-01-2023 10:00,42.56,90.3275,2.7075,25.585,28.29,9.73,,0.7825,32.145,0.1525,1.3225,,,0.31,0.16,,68.4575,0.725,133.965,,,279.4775,1014.925,-0.49
01-01-2023 11:00,41.6325,67.73,2.5025,11.29,13.79,7.7525,,0.695,37.0075,0.33,0.7125,,,0.2475,0.16,,62.6075,1.2625,137.3475,,,290.4,1014.3,-0.49
01-01-2023 12:00,38.8,55.62,2.16,8.9,11.0625,7.195,,0.7175,46.635,0.2775,0.98,,,0.3325,0.1675,,61.325,1.3325,135.7375,,,295.86,1013.225,-0.49
01-01-2023 13:00,38.255,49.6975,2.35,9.7925,12.14,7.2,,0.72,42.6825,0.68,0.77,,,0.3575,0.17,,60.82,1.41,129.2125,,,132.5425,1012.025,-0.49
01-01-2023 14:00,36.62,45.665,2.165,7.335,9.4975,6.78,,0.5625,41.7675,0.295,0.495,,,0.135,0.1475,,62.5225,1.5725,122.255,,,117.8725,1011.175,-0.4875
01-01-2023 15:00,36.4975,43.8875,2.1425,6.5125,8.65,6.415,,0.565,38.0125,0.305,0.6525,,,0.4225,0.2,,66.53,1.5675,121.0675,,,78.2375,1010.775,-0.49
01-01-2023 16:00,36.13,46.455,2.1875,6.285,8.47,6.335,,0.8875,33.125,0.09,0.8975,,,0.275,0.1125,,71.83,1.56,113.03,,,33.0875,1010.875,-0.49
01-01-2023 17:00,34.7925,61.7425,2.425,8.1225,10.55,6.415,,0.9175,29.5975,0.0775,0.3825,,,0.2975,0.1075,,80.62,1.6,111.7975,,,8.1225,1011.4,-0.495
01-01-2023 18:00,30.72,72.975,2.605,10.75,13.3525,6.535,,0.675,21.005,0.1775,0.805,,,0.1725,0.4025,,89.045,1.795,101.695,,,0.9,1012.075,-0.5
01-01-2023 19:00,29.7575,62.5975,4.635,21.1675,25.8025,7.77,,0.6975,9.9175,0.3625,0.5725,,,0.1325,0.18,,93.7975,1.8775,97.765,,,0.5325,1012.9,-0.5
01-01-2023 20:00,26.87,56.15,5.4825,22.055,27.5375,7.975,,0.71,6.1725,0.0075,0.845,,,0.3925,0.13,,95.2375,1.8425,92.4925,,,1.0525,1013.7,-0.5
01-01-2023 21:00,26.9025,56.69,9.9675,19.8325,29.7975,8.3325,,0.73,4.1675,0.1925,0.7575,,,0.2975,0.15,,95.2475,1.9775,85.4225,,,0.65,1014.2,-0.5
01-01-2023 22:00,27,64.5925,7.48,14.51,21.9875,7.5,,0.6225,5.1,0.2225,0.445,,,0.235,0.1425,,95.2825,1.8775,151.9175,,,1.8475,1014.125,-0.5
01-01-2023 23:00,27,65.89,4.116666667,8.446666667,12.56333333,6.386666667,,0.556666667,5.056666667,0.123333333,0.493333333,,,0.096666667,0.286666667,,95.31333333,1.59,165.3566667,,,1.946666667,1014,-0.5
02-01-2023 00:00,24.39,67.34,3.9125,6.8725,10.785,6.1025,,0.74,4.3225,0.095,0.81,,,0.285,0.13,,95.9725,1.97,83.7375,,,1.5525,1013.325,-0.5
02-01-2023 01:00,23.565,75.5425,3.8075,6.2875,10.0925,5.9675,,0.725,4.1875,0.4,0.8275,,,0.4525,0.245,,95.8475,1.4075,212.6775,,,1.8625,1012.65,-0.5
02-01-2023 02:00,21.05,76.7575,5.4875,7.18,12.64,6.3,,0.62,4.675,0.0975,0.4975,,,0.1725,0.07,,95.885,1.75,260.21,,,0.9075,1012.1,-0.5
02-01-2023 03:00,20.0475,65.52,6.44,6.6725,13.105,6.3825,,0.6975,2.91,0.1225,0.6375,,,0.4225,0.11,,95.83,1.385,190.915,,,1.6925,1011.65,-0.5
02-01-2023 04:00,17.04,57.87,12.0975,9.565,21.6575,7.5725,,0.86,2.6475,0.2075,0.6225,,,0.31,0.195,,95.7875,1.86,212.5475,,,1.3925,1011.85,-0.5
02-01-2023 05:00,17.92,52.5975,23.4825,10.3025,33.7875,9.5675,,0.955,2.3375,0.27,0.705,,,0.2725,0.47,,95.6575,1.2275,97.185,,,1.7875,1012.275,-0.5
02-01-2023 06:00,20.56,55.955,50.245,13.0375,63.27,13.41,,0.9025,2.6125,0.1875,0.9175,,,0.61,0.195,,95.17,1.0225,26.0175,,,4.2725,1012.975,-0.5
02-01-2023 07:00,22.0175,76.735,44.4775,19.725,64.2,13.275,,0.875,2.755,0.15,0.9825,,,0.255,0.085,,95.265,1.2975,186.365,,,24.695,1013.85,-0.5
02-01-2023 08:00,26.45,82.36666667,16.95666667,38.45666667,55.41333333,11.43333333,,1.013333333,6.01,0.09,0.973333333,,,0.41,0.13,,84.76333333,1.1175,248.2966667,,,54.29333333,1014.6,-0.496666667
02-01-2023 09:00,27.5975,83.87,5.1425,33.1525,38.295,9.6025,,0.8725,19.2075,0.17,0.9225,,,0.27,0.2625,,72.0475,0.985,147.94,,,153.7725,1014.8,-0.4925
02-01-2023 10:00,31.09,74.45666667,2.29,6.08,8.37,6.42,,0.413333333,33.57666667,0.26,0.73,,,0.46,0.263333333,,59.8,1.456666667,167.7733333,,,357.17,1014.633333,-0.49
02-01-2023 11:00,30.6275,64.3975,2.7575,8.87,11.625,7.9125,,0.5625,31.37,0.3675,0.4275,,,0.335,0.21,,59.9575,1.3675,151.4125,,,272.5225,1014.125,-0.49
02-01-2023 12:00,29.24,56.6575,2.4375,5.94,8.375,7.24,,0.66,29.845,0.26,0.735,,,0.1675,0.335,,59.3525,1.2775,150.705,,,275.0575,1013.1,-0.49
02-01-2023 13:00,30.515,51.245,2.365,5.175,7.54,7.2075,,0.7625,30.7975,0.0575,0.6425,,,0.14,0.0975,,57.8525,1.3125,141.06,,,154.955,1011.925,-0.49
02-01-2023 14:00,34.4,47.4525,2.5225,6.6,9.1225,6.88,,0.6,29.92,0.15,0.4475,,,0.18,0.3075,,58.8275,1.5425,153.0375,,,112.735,1011.025,-0.49
02-01-2023 15:00,33.7825,44.7975,2.42,5.4925,7.91,6.575,6.14,0.5875,27.1025,0.3675,0.715,,,0.14,0.3175,,59.21,1.4275,132.845,,,82.8625,1010.825,-0.49
02-01-2023 16:00,31.93,42.9375,2.82,7.59,10.415,6.665,6.16,0.74,28.46,0.1425,0.1725,,,0.1675,0.34,,64.5775,1.4825,128.3825,,,31.625,1010.9,-0.495
02-01-2023 17:00,31.64,41.65,2.4225,8.545,10.9675,6.7225,6.1925,0.7375,27.5275,0.22,0.62,,,0.18,0.663333333,,72.695,1.7875,102.5475,,,11.945,1011.525,-0.5
02-01-2023 18:00,30.77,40.8075,3.0425,17.275,20.3175,7.7125,6.5075,0.8075,16.745,0.2525,0.5725,,,0.256666667,0.16,,83.71,1.86,96.885,,,0.135,1012.375,-0.5
02-01-2023 19:00,31.5775,40.805,5.0725,22.205,27.2775,9.265,6.735,0.88,8.595,0.36,0.5425,,,0.25,0.2225,,90.425,1.9375,93.53,,,0.555,1013.325,-0.5
02-01-2023 20:00,34,43.82,10.09,30.87,40.9575,10.1,6.7575,0.625,7.0725,0.1525,0.56,,,0.295,0.2175,,92.085,1.89,93.1,,,0.7225,1014.15,-0.5
02-01-2023 21:00,32.9075,57.88,11.4375,29.875,41.3,8.9625,6.8,0.385,4.1375,0.2425,0.58,,,0.525,0.41,,94.86,1.845,85.04,,,0.7825,1014.575,-0.5
02-01-2023 22:00,29.58,95.0125,7.4575,22.415,29.8725,7.615,6.9275,0.72,5.1475,0.5275,0.6525,,,0.31,0.295,,94.98,1.8725,93.855,,,1.0725,1014.525,-0.5
02-01-2023 23:00,29.58,124.42,3.406666667,11.57,14.98,6.053333333,6.483333333,0.63,7.886666667,0.356666667,1.196666667,,,0.34,0.32,,93.83666667,1.776666667,166.9466667,,,,1014.2,-0.5
03-01-2023 00:00,25.54,107.2675,3.845,8.3175,12.16,5.795,6.5,0.64,4.7075,0.22,0.5425,,,0.083333333,0.3875,,95.03,1.98,343.975,,,0.3075,1013.7,-0.5
03-01-2023 01:00,24.4575,106.6925,4.4475,6.95,11.3975,5.7775,6.3825,0.5725,3.005,0.2225,1.09,,,0.34,0.2725,,95.155,1.8825,332.8875,,,1.4175,1012.975,-0.5
03-01-2023 02:00,21.16,104.845,8.7875,11.215,20.0075,6.9325,6.4375,0.64,2.61,0.0725,0.5075,,,0.2175,0.22,,95.3325,1.62,77.765,,,1.825,1012.475,-0.5
03-01-2023 03:00,21.1675,100.3025,21.485,11.31,32.7975,8.945,6.4625,0.7925,2.61,0.145,0.8575,,,0.2175,0.12,,95.235,1.855,272.69,,,1.955,1012.125,-0.5
03-01-2023 04:00,21.19,103.2625,30.0825,9.9825,40.065,10.125,6.475,0.805,2.5925,0.265,0.675,,,0.4075,0.225,,95.3025,1.755,71.175,,,1.3725,1012.175,-0.5
03-01-2023 05:00,22.6725,94.085,39.44,10.58,50.0175,11.4775,6.4725,0.855,2.555,0.2925,0.8025,,,0.2575,0.1675,,95.315,1.59,68.495,,,1.81,1012.525,-0.5
03-01-2023 06:00,27.12,84.5475,61.4925,16.235,77.7175,15.3175,6.5125,0.9175,2.5,0.1275,0.7475,,,0.136666667,0.205,,95.2975,1.345,132.155,,,4.57,1013.125,-0.5
03-01-2023 07:00,27.9225,91.1275,65.935,24.6825,90.615,17.1175,6.47,1.1375,2.835,0.225,0.8125,,,0.24,0.345,,95.3,0.9825,94.67,,,24.275,1013.95,-0.4975
03-01-2023 08:00,30.33,105.485,30.9475,50.3475,81.29,14.9225,6.5825,0.9725,3.705,0.235,0.385,,,0.335,0.4,,88.1725,1.2475,221.2475,,,56.1675,1014.85,-0.49
03-01-2023 09:00,32.2175,84.0475,5.2225,33.655,38.8775,9.6625,6.475,0.6925,16.2925,0.235,0.5375,,,0.093333333,0.23,,74.2575,1.2875,93.4,,,123.2175,1015.3,-0.49
03-01-2023 10:00,37.88,63.7325,2.7375,11.1075,13.845,6.8325,6.3875,0.655,26.9375,0.125,0.965,,,0.28,0.165,,65.88,1.185,107.93,,,283.6025,1015.15,-0.4875
03-01-2023 11:00,36.7825,53.005,2.456666667,8.3,10.7975,6.423333333,6.555,0.5975,30.7025,0.2425,0.83,,,0.403333333,0.263333333,,63.88333333,1.3925,117.7725,,,289.3833333,1014.325,-0.483333333
03-01-2023 12:00,33.44,47.47,2.4325,8.355,10.7875,7.165,6.5,0.6775,28.3975,0.1625,1.1,,,0.4325,0.345,,66.5375,1.48,104.6725,,,187.135,1013.2,-0.4825
03-01-2023 13:00,34.93,45.015,2.505,8.73,11.2375,7.2125,6.3375,0.8875,27.93,0.07,0.8275,,,0.5125,0.4625,,64.7975,1.4875,105.785,,,169.39,1012.1,-0.485
03-01-2023 14:00,39.4,42.66,2.2475,6.7125,8.96,6.735,6.26,0.705,29.225,0.0725,0.6275,,,0.29,0.0775,,65,1.4475,107.3425,,,132.2875,1011.275,-0.485
03-01-2023 15:00,39.1375,41.2525,2.3925,9.0125,11.405,6.8925,6.3125,0.7375,26.8425,0.235,0.3775,,,0.2325,0.473333333,,66.1775,1.5575,100.2625,,,101.92,1010.9,-0.4875
03-01-2023 16:00,38.35,40.39,2.645,9.945,12.59,6.9325,6.2475,0.6375,28.375,0.2975,0.7425,,,0.105,0.235,,70.43,1.595,103.31,,,42.385,1010.9,-0.49
03-01-2023 17:00,37.69,39.8425,2.2775,11.185,13.4625,6.9825,6.2125,0.5925,28.1825,0.27,0.76,,,0.2425,0.3575,,72.875,1.6675,103.2125,,,18.805,1011.3,-0.49
03-01-2023 18:00,35.71,39.485,2.5575,16.9925,19.5525,7.66,6.3,0.86,37.35,0.0275,0.445,,,0.2675,0.085,,75.8775,1.63,101.8375,,,0.296666667,1011.9,-0.4975
03-01-2023 19:00,35.5925,39.2475,2.6875,20.295,22.98,8.925,6.1475,0.855,42.07,0.115,0.525,,,0.243333333,0.22,,78.815,1.5875,97.82,,,0.556666667,1012.6,-0.5
03-01-2023 20:00,35.24,42.2875,2.84,20.885,23.7225,8.3525,6.1025,0.7675,36.905,0.0425,0.625,,,0.3175,0.2475,,84.78,1.765,97.1075,,,0.93,1013.375,-0.5
03-01-2023 21:00,35.3625,54.0875,3.9275,27.8475,31.7725,8.9625,6.0675,0.785,24.8425,0.1425,0.7225,,,0.315,0.085,,90.265,1.8,87.1425,,,1.89,1013.875,-0.5
03-01-2023 22:00,35.73,59.525,2.6375,15.68,18.3175,7.555,5.72,0.6725,33.455,0.2075,0.36,,,0.285,0.175,,83.4775,1.795,93.215,,,0.563333333,1013.975,-0.5
03-01-2023 23:00,35.73,55.16,2.57,13.79333333,16.36333333,7.356666667,5.37,0.636666667,26.84666667,0.133333333,0.69,,,0.243333333,0.216666667,,90.00333333,1.806666667,94.72,,,1.33,1013.733333,-0.5
04-01-2023 00:00,31.53,57.9,2.7425,12.18,14.9225,7.195,5.4,0.6525,23.0675,0.345,0.4725,,,0.16,0.2875,,91.42,1.925,93.585,,,0.4,1013.125,-0.5
04-01-2023 01:00,30.7525,52.3975,2.545,8.445,10.99,6.6825,5.3975,0.6775,27.5,0.1775,0.74,,,0.3825,0.21,,89.0275,1.46,140.2875,,,0.4,1012.7,-0.5
04-01-2023 02:00,28.38,51.965,2.86,9.695,12.555,6.7525,5.38,0.635,16.8525,0.36,0.83,,,0.2575,0.1875,,92.6375,1.205,109.215,,,1.185,1012.2,-0.5
04-01-2023 03:00,28.115,64.6175,3.375,12.4025,15.7775,7.145,5.4825,0.6575,15.265,0.0375,0.8825,,,0.37,0.2475,,95.3325,1.1225,72.2275,,,1.1675,1011.875,-0.4975
04-01-2023 04:00,27.31,82.31,4.2725,13.0725,17.345,7.3425,5.9025,0.6625,6.035,0.38,0.88,,,0.24,0.2075,,95.25,0.8975,50.43,,,1.035,1011.825,-0.5
04-01-2023 05:00,27.8875,88.275,8.02,18.02,26.04,8.4325,5.94,0.77,6.0425,0.025,1.06,,,0.285,0.236666667,,95.4275,1.22,49.8825,,,1.515,1012.125,-0.5
04-01-2023 06:00,29.62,74.51,41.485,24.33,65.7375,13.7175,5.5,0.7475,2.2125,0.2375,0.37,,,0.415,0.255,,95.485,1.54,143.15,,,3.8275,1012.7,-0.5
04-01-2023 07:00,29.4475,69.0075,47.35,27.63,74.9775,15.375,5.575,1.0025,2.375,0.19,0.7675,,,0.13,0.1325,,95.35,1.14,110.69,,,26.86,1013.55,-0.5
04-01-2023 08:00,28.92,89.0425,32.685,55.5075,88.1975,16.5125,5.945,1.035,2.9975,0.27,0.6075,,,0.12,0.165,,95.1675,0.945,183.9075,,,54.6175,1014.2,-0.5
04-01-2023 09:00,30.875,128.4725,7.745,32.77,40.515,10.8375,5.825,0.68,16.7125,0.135,0.7125,,,0.4475,0.165,,80.2325,1.29,162.75,,,142.6875,1014.275,-0.4925
04-01-2023 10:00,36.74,91.77,2.795,9.5525,12.35,7.625,5.3775,0.47,32.3175,0.295,0.5625,,,0.1875,0.12,,67.6675,1.4775,110.3825,,,259.6725,1014.075,-0.4875
04-01-2023 11:00,36.1125,68.0075,2.3225,6.5175,8.84,7.2425,5.4,0.5225,35.29,0.105,0.775,,,0.4775,0.2775,,66.2225,1.4525,123.175,,,233.135,1013.3,-0.4875
04-01-2023 12:00,34.23,55.71,2.2325,6.495,8.73,6.875,5.3975,0.86,29.78,0.0425,0.8125,,,0.31,0.3675,,64.0275,1.385,105.335,,,245.9575,1012.1,-0.485
04-01-2023 13:00,35.5,49.87,2.5825,10.1425,12.725,7.16,5.4225,0.81,27.7175,0.415,1.105,,,0.2875,0.4425,,67.5,1.5725,109.3525,,,150.8,1011.025,-0.485
04-01-2023 14:00,39.37,47.1325,2.5625,11.665,14.2275,7.1725,5.4075,0.595,29.005,0.4375,0.805,,,0.21,0.255,,68.0075,1.4325,103.305,,,136.605,1010.025,-0.49
04-01-2023 15:00,39.7325,54.235,2.505,11.785,14.29,7.205,5.375,0.6375,30.9725,0.15,0.5425,,,0.2725,0.0925,,81.76,1.3425,93.5075,,,79.8175,1009.675,-0.4925
04-01-2023 16:00,40.82,80.2025,2.8875,14.43,17.3125,7.5875,5.3625,0.665,23.155,0.0775,0.41,,,0.2425,0.1125,,93.105,1.57,103.8325,,,39.1825,1009.625,-0.495
04-01-2023 17:00,39.94,84.035,2.595,13.495,16.0875,7.43,5.355,0.6575,24.345,0.235,0.665,,,0.4425,0.1625,,83.2725,1.62,107.4825,,,15.4475,1010.1,-0.5
04-01-2023 18:00,37.3,71.0125,3.7025,22.88,26.585,8.56,5.3625,0.75,25.62,0.0875,0.7225,,,0.17,0.2225,,82.2675,1.575,106.5775,,,4.8675,1010.725,-0.5
04-01-2023 19:00,38.315,61.29,3.225,23.67,26.895,8.32,5.36,0.775,25.7825,0.23,0.7525,,,0.13,0.1725,,78.5275,1.6625,109.8475,,,4.215,1011.5,-0.5
04-01-2023 20:00,41.36,54.4825,2.9975,20.16,23.1575,7.77,5.3725,0.5525,33.205,0.25,0.5025,,,0.2975,0.215,,74.595,1.6125,105.0625,,,3.5475,1012.225,-0.5
04-01-2023 21:00,40.4675,49.7175,2.6475,16.2575,18.905,7.2425,5.355,0.4125,36.1225,0.3975,1.0025,,,0.1075,0.2425,,72.785,1.6625,106.325,,,3.195,1012.85,-0.4925
04-01-2023 22:00,37.79,46.38,2.345,10.5725,12.92,6.625,5.345,0.65,37.7925,0.3025,0.9075,,,0.1375,0.21,,74.605,1.6825,106.2925,,,2.025,1012.925,-0.5
04-01-2023 23:00,37.79,44.49,2.29,9.113333333,11.40666667,6.396666667,5.34,0.63,34.71,0.19,0.506666667,,,0.19,0.246666667,,77.34333333,1.716666667,98.25333333,,,0.476666667,1012.466667,-0.5
05-01-2023 00:00,27.47,42.4625,2.2975,6.4625,8.7625,6.0425,5.38,0.58,34.5975,0.2875,0.7125,,,0.1575,0.235,,77.9675,1.755,101.1275,,,1.3225,1012.05,-0.5
05-01-2023 01:00,27.115,46.2875,2.3025,6.0275,8.3275,6.005,5.3575,0.6175,34.905,0.115,0.72,,,0.3475,0.255,,80.7,1.7225,96.915,,,2.96,1011.55,-0.4925
05-01-2023 02:00,26.03,58.4475,2.2675,5.205,7.4675,5.9625,5.34,0.4975,45.0825,0.3125,0.4925,,,0.2675,0.2125,,75.6075,1.6475,104.6275,,,2.4325,1010.825,-0.4875
05-01-2023 03:00,24.86,52.5325,2.245,4.7625,7.01,5.8325,5.3475,0.5375,46.1575,0.1925,0.325,,,0.4475,0.18,,73.0875,1.4675,104.9975,,,1.9275,1010.35,-0.49
05-01-2023 04:00,21.29,48.6625,2.1625,4.5225,6.6825,5.77,5.3475,0.6325,50.8025,0.26,0.51,,,0.3125,0.12,,69.8125,1.5875,112.445,,,0.2475,1010.75,-0.49
05-01-2023 05:00,21.6925,45.64,2.165,5.495,7.6625,5.86,5.355,0.7075,48.71,0.2225,0.9025,,,0.235,0.29,,71.2225,1.565,114.7725,,,0.4,1011.175,-0.49
05-01-2023 06:00,22.92,43.53,2.99,19.8425,22.8325,7.24,5.3575,0.6725,39.6775,0.2225,0.6,,,0.19,0.126666667,,74.9775,1.515,111.2125,,,2.5275,1011.925,-0.495
05-01-2023 07:00,22.67,43.2225,2.9325,19.4925,22.4275,7.3825,5.35,0.7125,38.1775,0.2325,0.7875,,,0.0975,0.215,,76.7225,1.65,104.845,,,17.4125,1012.7,-0.49
05-01-2023 08:00,21.91,45.8425,2.4975,12.2975,14.795,6.88,5.36,0.745,44.3675,0.2425,0.4175,,,0.15,0.163333333,,69.6625,1.4725,116.825,,,61.3575,1013.5,-0.4875
05-01-2023 09:00,22.325,45.245,2.3,8.9875,11.285,6.5525,5.365,0.7475,47.14,0.085,0.4275,,,0.365,0.2725,,66.0025,1.6,120.09,,,118.36,1014.175,-0.48
05-01-2023 10:00,23.57,43.69,2.2175,8.0625,10.28,6.41,5.36,0.6625,46.7475,0.265,0.82,,,0.28,0.28,,63.515,1.3975,112.7475,,,258.8475,1014.2,-0.48
05-01-2023 11:00,23.985,43.37,2.19,6.3825,8.57,6.2825,5.365,0.685,46.11,0.255,0.94,,,0.225,0.3625,,63.3075,1.5825,119.11,,,315.665,1013.65,-0.4775
05-01-2023 12:00,25.23,44.52,2.3825,8.32,10.7,6.51,6.645,0.685,36.1475,0.13,0.52,,,0.2925,0.21,,62.64,1.41,111.955,,,318.99,1012.85,-0.4775
05-01-2023 13:00,27.505,47.8,2.545,10.585,13.1275,6.4025,6.715,0.545,37.47,0.2975,0.98,,,0.105,0.3425,,63.67,1.435,111.91,,,144.35,1012.025,-0.48
05-01-2023 14:00,34.43,59.625,2.1525,7.815,9.9675,6.4375,6.695,0.7325,36.2625,0.315,1.615,,,0.2625,0.36,,63.5675,1.4425,115.62,,,140.235,1011.25,-0.4825
05-01-2023 15:00,35.46,53.3175,2.535,8.0225,10.555,6.56,6.82,0.9375,33.485,0.185,0.6475,,,0.0875,0.2425,,64.4425,1.5425,112.2975,,,111.59,1010.9,-0.4825
05-01-2023 16:00,38.55,48.905,2.1375,7.56,9.6975,6.47,6.845,0.735,34.595,0.2025,0.385,,,0.2975,0.225,,66.4425,1.615,106.3675,,,43.275,1010.975,-0.4875
05-01-2023 17:00,39.8075,45.815,2.2825,10.225,12.5075,6.83,6.8475,0.71,38.5825,0.1775,1.055,,,0.2825,0.2425,,72.08,1.5375,104.13,,,10.8,1011.55,-0.49
05-01-2023 18:00,43.58,44.06,2.38,11.755,14.135,7.37,6.9025,0.67,40.6425,0.2625,1.035,,,0.22,0.14,,77.2375,1.515,102.61,,,1.04,1012.1,-0.495
05-01-2023 19:00,,,2.5475,15.6875,18.235,8.18,6.93,0.6875,36.2025,0.1825,0.69,,,0.255,0.33,,76.675,1.735,103.9175,,,1.665,1012.975,-0.4925
05-01-2023 20:00,,,2.4425,11.545,13.99,8.6375,7.005,0.7825,42.9225,0.37,0.535,,,0.2975,0.265,,75.465,1.4525,102.1575,,,2.59,1013.8,-0.49
05-01-2023 21:00,,,2.34,10.63,12.97,7.8825,6.88,0.7575,52.5075,0.3,0.5675,,,0.1425,0.256666667,,73.405,1.6075,101.315,,,1.54,1014.2,-0.49
05-01-2023 22:00,,,2.27,8.2025,10.475,7.2675,6.815,0.665,54.98,0.26,0.73,,,0.225,0.15,,73.1525,1.63,100.34,,,0.625,1014.2,-0.49
05-01-2023 23:00,54.84,48.79,2.503333333,9.5,11.99666667,7.226666667,6.846666667,0.666666667,47.13666667,0.15,0.17,,,0.26,0.213333333,,85.55,1.716666667,103.63,,,0.333333333,1013.966667,-0.49
06-01-2023 00:00,49.53,104.4525,2.5275,7.64,10.1675,7.0525,6.8375,0.67,35.0425,0.1825,0.925,,,0.12,0.2575,,95.27,1.825,101.24,,,1.1275,1013.325,-0.495
06-01-2023 01:00,47.0325,108.91,2.345,5.855,8.2025,6.7775,6.8375,0.63,39.07,0.1775,0.585,,,0.425,0.14,,92.6025,1.7625,100.225,,,3.0025,1012.825,-0.495
06-01-2023 02:00,39.42,83.75,2.395,5.8875,8.2825,6.7925,6.835,0.6925,39.6275,0.11,0.5375,,,0.4375,0.155,,89.4575,1.735,97.7875,,,5.465,1012.025,-0.49
06-01-2023 03:00,39.8075,68.41,2.42,5.5675,7.9875,6.65,6.845,0.6925,39.1575,0.01,0.98,,,0.165,0.075,,84.7325,1.7425,99.8725,,,6.005,1011.725,-0.49
06-01-2023 04:00,40.98,58.6825,2.415,5.995,8.41,6.5125,6.8675,0.635,37.7975,0.1875,0.6925,,,0.4825,0.0775,,83.45,1.6875,97.395,,,3.2475,1011.75,-0.4925
06-01-2023 05:00,38.7825,52.495,2.4175,10.485,12.905,6.8175,6.8675,0.645,30.7625,0.285,0.5775,,,0.455,0.16,,83.5975,1.6725,94.155,,,2.78,1012.225,-0.495
06-01-2023 06:00,32.1,48.33,3.7775,22.305,26.085,8.045,6.8225,0.6125,31.0125,0.1775,0.625,,,0.305,0.19,,83.7475,1.56,95.0225,,,4.0575,1013.05,-0.49
06-01-2023 07:00,31.6475,46.1425,3.21,20.8075,24.015,7.95,6.8675,0.645,30.6225,0.2225,0.5175,,,0.2775,0.1675,,81.7675,1.5925,92.1425,,,29.79,1014.175,-0.49
06-01-2023 08:00,30.29,46.3,3.4925,19.8775,23.37,8.065,6.83,0.64,33.1,0.3925,0.4525,,,0.185,0.4025,,73.89,1.415,92.715,,,75.83,1015.425,-0.4825
06-01-2023 09:00,30.5475,44.64,2.8525,13.0975,15.95,7.2175,6.825,0.59,37.225,0.2825,0.735,,,0.1425,0.26,,68.83,1.455,97.1275,,,130.51,1015.975,-0.4775
06-01-2023 10:00,31.32,42.8275,2.7425,11.4575,14.2,7.105,6.835,0.705,39.01,0.2875,0.5875,,,0.1925,0.1525,,66.68,1.5875,100.8875,,,245.125,1016.025,-0.4775
06-01-2023 11:00,30.205,41.575,2.315,7.0025,9.3175,6.44,6.8775,0.71,34.1425,0.425,0.4075,,,0.3375,0.19,,64.6625,1.455,101.1375,,,297.8125,1015.6,-0.475
06-01-2023 12:00,26.81,41.285,2.4475,9.37,11.815,6.87,6.895,0.7525,30.595,0.135,1.08,,,0.12,0.2375,,65.5525,1.48,103.735,,,265.95,1014.575,-0.475
06-01-2023 13:00,28.065,47.7625,2.4375,9.165,11.6025,6.7825,6.9,0.7975,30.095,0.3,0.7675,,,0.2325,0.15,,68.23,1.4175,102.3225,,,170.19,1013.45,-0.4725
